# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	196	264	+					thrL		ATE40_RS23940	69		
CDS	with_protein	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	196	264	+	WP_071998276.1	WP_071998276.1		thr operon leader peptide	thrL		ATE40_RS23940	69	22	
gene	protein_coding	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	345	2804	+					thrA		ATE40_RS00005	2460		old_locus_tag=ATE40_000005
CDS	with_protein	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	345	2804	+	WP_063918132.1	WP_063918132.1		bifunctional aspartate kinase/homoserine dehydrogenase I	thrA		ATE40_RS00005	2460	819	
gene	protein_coding	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	2806	3735	+					thrB		ATE40_RS00010	930		old_locus_tag=ATE40_000010
CDS	with_protein	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	2806	3735	+	WP_063918133.1	WP_063918133.1		homoserine kinase	thrB		ATE40_RS00010	930	309	
gene	protein_coding	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	3739	5028	+					thrC		ATE40_RS00015	1290		old_locus_tag=ATE40_000015
CDS	with_protein	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	3739	5028	+	WP_063918134.1	WP_063918134.1		threonine synthase	thrC		ATE40_RS00015	1290	429	
gene	protein_coding	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	5075	5851	-					yaaA		ATE40_RS00020	777		old_locus_tag=ATE40_000020
CDS	with_protein	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	5075	5851	-	WP_025159625.1	WP_025159625.1		peroxide stress protein YaaA	yaaA		ATE40_RS00020	777	258	
gene	protein_coding	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	5957	7393	-							ATE40_RS00025	1437		old_locus_tag=ATE40_000025
CDS	with_protein	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	5957	7393	-	WP_063918135.1	WP_063918135.1		sodium:alanine symporter family protein			ATE40_RS00025	1437	478	
gene	protein_coding	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	7777	8730	+					tal		ATE40_RS00030	954		old_locus_tag=ATE40_000030
CDS	with_protein	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	7777	8730	+	WP_004932982.1	WP_004932982.1		transaldolase	tal		ATE40_RS00030	954	317	
gene	protein_coding	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	8882	9469	+					mog		ATE40_RS00035	588		old_locus_tag=ATE40_000035
CDS	with_protein	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	8882	9469	+	WP_004932980.1	WP_004932980.1		molybdopterin adenylyltransferase	mog		ATE40_RS00035	588	195	
gene	protein_coding	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	9594	10901	+							ATE40_RS00040	1308		old_locus_tag=ATE40_000040
CDS	with_protein	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	9594	10901	+	WP_063918136.1	WP_063918136.1		MFS transporter			ATE40_RS00040	1308	435	
gene	protein_coding	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	10944	11543	-					satP		ATE40_RS00045	600		old_locus_tag=ATE40_000045
CDS	with_protein	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	10944	11543	-	WP_025159626.1	WP_025159626.1		acetate uptake transporter	satP		ATE40_RS00045	600	199	
gene	protein_coding	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	11868	13781	+					dnaK		ATE40_RS00050	1914		old_locus_tag=ATE40_000050
CDS	with_protein	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	11868	13781	+	WP_004932972.1	WP_004932972.1		molecular chaperone DnaK	dnaK		ATE40_RS00050	1914	637	
gene	protein_coding	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	13887	15011	+					dnaJ		ATE40_RS00055	1125		old_locus_tag=ATE40_000055
CDS	with_protein	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	13887	15011	+	WP_004932969.1	WP_004932969.1		molecular chaperone DnaJ	dnaJ		ATE40_RS00055	1125	374	
gene	protein_coding	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	15248	16414	+					nhaA		ATE40_RS00060	1167		old_locus_tag=ATE40_000060
CDS	with_protein	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	15248	16414	+	WP_019455019.1	WP_019455019.1		Na+/H+ antiporter NhaA	nhaA		ATE40_RS00060	1167	388	
gene	protein_coding	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	16606	17505	+					nhaR		ATE40_RS00065	900		old_locus_tag=ATE40_000065
CDS	with_protein	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	16606	17505	+	WP_025159627.1	WP_025159627.1		transcriptional activator NhaR	nhaR		ATE40_RS00065	900	299	
gene	protein_coding	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	17577	17840	-					rpsT		ATE40_RS00070	264		old_locus_tag=ATE40_000070
CDS	with_protein	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	17577	17840	-	WP_004932960.1	WP_004932960.1		30S ribosomal protein S20	rpsT		ATE40_RS00070	264	87	
gene	protein_coding	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	18231	19169	+					ribF		ATE40_RS00075	939		old_locus_tag=ATE40_000075
CDS	with_protein	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	18231	19169	+	WP_019455021.1	WP_019455021.1		bifunctional riboflavin kinase/FAD synthetase	ribF		ATE40_RS00075	939	312	
gene	protein_coding	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	19202	22018	+					ileS		ATE40_RS00080	2817		old_locus_tag=ATE40_000080
CDS	with_protein	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	19202	22018	+	WP_063918137.1	WP_063918137.1		isoleucine--tRNA ligase	ileS		ATE40_RS00080	2817	938	
gene	protein_coding	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	22032	22541	+					lspA		ATE40_RS00085	510		old_locus_tag=ATE40_000085
CDS	with_protein	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	22032	22541	+	WP_019455023.1	WP_019455023.1		signal peptidase II	lspA		ATE40_RS00085	510	169	
gene	protein_coding	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	22543	23013	+					fkpB		ATE40_RS00090	471		old_locus_tag=ATE40_000090
CDS	with_protein	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	22543	23013	+	WP_019455024.1	WP_019455024.1		FKBP-type peptidyl-prolyl cis-trans isomerase	fkpB		ATE40_RS00090	471	156	
gene	protein_coding	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	22994	23947	+					ispH		ATE40_RS00095	954		old_locus_tag=ATE40_000095
CDS	with_protein	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	22994	23947	+	WP_004932946.1	WP_004932946.1		4-hydroxy-3-methylbut-2-enyl diphosphate reductase	ispH		ATE40_RS00095	954	317	
gene	protein_coding	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	24222	25148	-							ATE40_RS00100	927		old_locus_tag=ATE40_000100
CDS	with_protein	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	24222	25148	-	WP_025159628.1	WP_025159628.1		LysR family transcriptional regulator			ATE40_RS00100	927	308	
gene	protein_coding	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	25339	26307	+							ATE40_RS00105	969		old_locus_tag=ATE40_000105
CDS	with_protein	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	25339	26307	+	WP_063918138.1	WP_063918138.1		isocyanide synthase family protein			ATE40_RS00105	969	322	
gene	protein_coding	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	26402	27265	+							ATE40_RS00110	864		old_locus_tag=ATE40_000110
CDS	with_protein	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	26402	27265	+	WP_019455027.1	WP_019455027.1		TauD/TfdA family dioxygenase			ATE40_RS00110	864	287	
gene	protein_coding	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	27290	28549	+							ATE40_RS00115	1260		old_locus_tag=ATE40_000115
CDS	with_protein	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	27290	28549	+	WP_063918139.1	WP_063918139.1		glycosyltransferase			ATE40_RS00115	1260	419	
gene	protein_coding	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	28812	29633	+					dapB		ATE40_RS00120	822		old_locus_tag=ATE40_000120
CDS	with_protein	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	28812	29633	+	WP_019455029.1	WP_019455029.1		4-hydroxy-tetrahydrodipicolinate reductase	dapB		ATE40_RS00120	822	273	
gene	protein_coding	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	30078	31253	+					carA		ATE40_RS00125	1176		old_locus_tag=ATE40_000125
CDS	with_protein	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	30078	31253	+	WP_175565709.1	WP_175565709.1		glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	carA		ATE40_RS00125	1176	391	
gene	protein_coding	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	31270	34494	+					carB		ATE40_RS00130	3225		old_locus_tag=ATE40_000130
CDS	with_protein	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	31270	34494	+	WP_019455031.1	WP_019455031.1		carbamoyl-phosphate synthase large subunit	carB		ATE40_RS00130	3225	1074	
gene	protein_coding	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	34666	35223	+					kefF		ATE40_RS00135	558		old_locus_tag=ATE40_000135
CDS	with_protein	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	34666	35223	+	WP_063918140.1	WP_063918140.1		glutathione-regulated potassium-efflux system oxidoreductase KefF	kefF		ATE40_RS00135	558	185	
gene	protein_coding	GCF_001642805.2	Primary Assembly	chromosome		NZ_CP016948.1	35216	37078	+					kefC		ATE40_RS00140	1863		old_locus_tag=ATE40_000140
