# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	1	1395	+					dnaA		E5D60_RS00005	1395		
CDS	with_protein	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	1	1395	+	WP_004933889.1	WP_004933889.1		chromosomal replication initiator protein DnaA	dnaA		E5D60_RS00005	1395	464	
gene	protein_coding	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	1400	2500	+					dnaN		E5D60_RS00010	1101		
CDS	with_protein	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	1400	2500	+	WP_004933892.1	WP_004933892.1		DNA polymerase III subunit beta	dnaN		E5D60_RS00010	1101	366	
gene	protein_coding	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	2546	3631	+					recF		E5D60_RS00015	1086		
CDS	with_protein	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	2546	3631	+	WP_004933895.1	WP_004933895.1		DNA replication/repair protein RecF	recF		E5D60_RS00015	1086	361	
gene	protein_coding	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	3650	6064	+					gyrB		E5D60_RS00020	2415		
CDS	with_protein	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	3650	6064	+	WP_004933898.1	WP_004933898.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		E5D60_RS00020	2415	804	
gene	protein_coding	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	6189	7004	+					yidA		E5D60_RS00025	816		
CDS	with_protein	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	6189	7004	+	WP_021504165.1	WP_021504165.1		sugar-phosphatase	yidA		E5D60_RS00025	816	271	
gene	protein_coding	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	7030	7971	-							E5D60_RS00030	942		
CDS	with_protein	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	7030	7971	-	WP_033631393.1	WP_033631393.1		ornithine cyclodeaminase family protein			E5D60_RS00030	942	313	
gene	protein_coding	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	7958	8926	-							E5D60_RS00035	969		
CDS	with_protein	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	7958	8926	-	WP_033631394.1	WP_033631394.1		threonine/serine dehydratase			E5D60_RS00035	969	322	
gene	protein_coding	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	9406	10686	+							E5D60_RS00040	1281		
CDS	with_protein	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	9406	10686	+	WP_049278441.1	WP_049278441.1		DUF3748 domain-containing protein			E5D60_RS00040	1281	426	
gene	protein_coding	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	10717	11064	-							E5D60_RS00045	348		
CDS	with_protein	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	10717	11064	-	WP_082997390.1	WP_082997390.1		YceK/YidQ family lipoprotein			E5D60_RS00045	348	115	
gene	protein_coding	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	11374	11787	+					ibpA		E5D60_RS00050	414		
CDS	with_protein	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	11374	11787	+	WP_004933919.1	WP_004933919.1		heat shock chaperone IbpA	ibpA		E5D60_RS00050	414	137	
gene	protein_coding	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	11895	12323	+					ibpB		E5D60_RS00055	429		
CDS	with_protein	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	11895	12323	+	WP_004933922.1	WP_004933922.1		heat shock chaperone IbpB	ibpB		E5D60_RS00055	429	142	
gene	protein_coding	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	12491	14149	+							E5D60_RS00060	1659		
CDS	with_protein	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	12491	14149	+	WP_033631397.1	WP_033631397.1		putative transporter			E5D60_RS00060	1659	552	
gene	protein_coding	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	14160	14540	-							E5D60_RS00065	381		
CDS	with_protein	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	14160	14540	-	WP_004933929.1	WP_004933929.1		type II toxin-antitoxin system VapC family toxin			E5D60_RS00065	381	126	
gene	protein_coding	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	14540	14761	-							E5D60_RS00070	222		
CDS	with_protein	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	14540	14761	-	WP_004933932.1	WP_004933932.1		ribbon-helix-helix domain-containing protein			E5D60_RS00070	222	73	
gene	protein_coding	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	14836	16086	-							E5D60_RS00075	1251		
CDS	with_protein	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	14836	16086	-	WP_004933935.1	WP_004933935.1		valine--pyruvate transaminase			E5D60_RS00075	1251	416	
gene	protein_coding	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	16222	18285	-							E5D60_RS00080	2064		
CDS	with_protein	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	16222	18285	-	WP_033631398.1	WP_033631398.1		alpha-amylase			E5D60_RS00080	2064	687	
gene	protein_coding	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	18481	18633	+							E5D60_RS25050	153		
CDS	with_protein	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	18481	18633	+	WP_015376155.1	WP_015376155.1		hypothetical protein			E5D60_RS25050	153	50	
gene	protein_coding	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	18635	19612	-					ghrB		E5D60_RS00085	978		
CDS	with_protein	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	18635	19612	-	WP_033631399.1	WP_033631399.1		glyoxylate/hydroxypyruvate reductase GhrB	ghrB		E5D60_RS00085	978	325	
gene	protein_coding	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	19686	20954	-							E5D60_RS00090	1269		
CDS	with_protein	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	19686	20954	-	WP_049187072.1	WP_049187072.1		MFS transporter			E5D60_RS00090	1269	422	
gene	protein_coding	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	21085	22050	-							E5D60_RS00095	966		
CDS	with_protein	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	21085	22050	-	WP_033645233.1	WP_033645233.1		sugar kinase			E5D60_RS00095	966	321	
gene	protein_coding	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	22058	22810	-							E5D60_RS00100	753		
CDS	with_protein	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	22058	22810	-	WP_033631401.1	WP_033631401.1		xylose isomerase			E5D60_RS00100	753	250	
gene	protein_coding	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	22976	24010	-							E5D60_RS00105	1035		
CDS	with_protein	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	22976	24010	-	WP_004933951.1	WP_004933951.1		LacI family DNA-binding transcriptional regulator			E5D60_RS00105	1035	344	
gene	protein_coding	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	24136	24798	-							E5D60_RS00110	663		
CDS	with_protein	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	24136	24798	-	WP_033631402.1	WP_033631402.1		OmpA family lipoprotein			E5D60_RS00110	663	220	
gene	protein_coding	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	25046	25498	-							E5D60_RS00115	453		
CDS	with_protein	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	25046	25498	-	WP_015376160.1	WP_015376160.1		N-acetyltransferase			E5D60_RS00115	453	150	
gene	protein_coding	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	25495	26061	-							E5D60_RS00120	567		
CDS	with_protein	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	25495	26061	-	WP_033631404.1	WP_033631404.1		DNA-3-methyladenine glycosylase I			E5D60_RS00120	567	188	
gene	protein_coding	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	26258	28246	+							E5D60_RS00125	1989		
CDS	with_protein	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	26258	28246	+	WP_060558025.1	WP_060558025.1		autotransporter domain-containing protein			E5D60_RS00125	1989	662	
gene	protein_coding	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	29013	29930	+					glyQ		E5D60_RS00130	918		
CDS	with_protein	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	29013	29930	+	WP_004933966.1	WP_004933966.1		glycine--tRNA ligase subunit alpha	glyQ		E5D60_RS00130	918	305	
gene	protein_coding	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	29940	32009	+					glyS		E5D60_RS00135	2070		
CDS	with_protein	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	29940	32009	+	WP_004933969.1	WP_004933969.1		glycine--tRNA ligase subunit beta	glyS		E5D60_RS00135	2070	689	
gene	protein_coding	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	32353	33072	+							E5D60_RS00140	720		
CDS	with_protein	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	32353	33072	+	WP_015376162.1	WP_015376162.1		DUF3053 domain-containing protein			E5D60_RS00140	720	239	
gene	protein_coding	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	33614	35527	+							E5D60_RS00145	1914		
CDS	with_protein	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	33614	35527	+	WP_085337606.1	WP_085337606.1		PTS mannitol transporter subunit IICBA			E5D60_RS00145	1914	637	
gene	protein_coding	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	35586	36731	+							E5D60_RS00150	1146		
CDS	with_protein	GCF_004768745.1	Primary Assembly	chromosome		NZ_CP038662.1	35586	36731	+	WP_021504154.1	WP_021504154.1		mannitol-1-phosphate 5-dehydrogenase			E5D60_RS00150	1146	381	
