# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	4993936	416	+						61762107	I6G83_RS00005	1491		old_locus_tag=I6G83_00005
CDS	with_protein	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	4993936	416	+	WP_054306718.1	WP_054306718.1		UbiD family decarboxylase		61762107	I6G83_RS00005	1491	496	
gene	protein_coding	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	511	2214	+						61762108	I6G83_RS00010	1704		old_locus_tag=I6G83_00010
CDS	with_protein	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	511	2214	+	WP_171020757.1	WP_171020757.1		sensor histidine kinase		61762108	I6G83_RS00010	1704	567	
gene	protein_coding	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	2222	2956	+						61762109	I6G83_RS00015	735		old_locus_tag=I6G83_00015
CDS	with_protein	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	2222	2956	+	WP_054306720.1	WP_054306720.1		LytTR family DNA-binding domain-containing protein		61762109	I6G83_RS00015	735	244	
gene	protein_coding	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	2957	3244	-						61762110	I6G83_RS00020	288		old_locus_tag=I6G83_00020
CDS	with_protein	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	2957	3244	-	WP_054306721.1	WP_054306721.1		DUF2502 domain-containing protein		61762110	I6G83_RS00020	288	95	
gene	protein_coding	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	3632	4855	+						61762111	I6G83_RS00025	1224		old_locus_tag=I6G83_00025
CDS	with_protein	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	3632	4855	+	WP_054306722.1	WP_054306722.1		OFA family MFS transporter		61762111	I6G83_RS00025	1224	407	
gene	protein_coding	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	4918	5880	-					glk	61762112	I6G83_RS00030	963		old_locus_tag=I6G83_00030
CDS	with_protein	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	4918	5880	-	WP_015673249.1	WP_015673249.1		glucokinase	glk	61762112	I6G83_RS00030	963	320	
gene	protein_coding	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	6044	6739	-						61762113	I6G83_RS00035	696		old_locus_tag=I6G83_00035
CDS	with_protein	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	6044	6739	-	WP_054306723.1	WP_054306723.1		aspartate/glutamate racemase family protein		61762113	I6G83_RS00035	696	231	
gene	protein_coding	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	6807	7247	-						61762114	I6G83_RS00040	441		old_locus_tag=I6G83_00040
CDS	with_protein	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	6807	7247	-	WP_015673251.1	WP_015673251.1		multidrug/biocide efflux PACE transporter		61762114	I6G83_RS00040	441	146	
gene	protein_coding	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	7348	8214	+						61762115	I6G83_RS00045	867		old_locus_tag=I6G83_00045
CDS	with_protein	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	7348	8214	+	WP_054306724.1	WP_054306724.1		LysR family transcriptional regulator		61762115	I6G83_RS00045	867	288	
gene	protein_coding	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	8211	9869	-						61762116	I6G83_RS00050	1659		old_locus_tag=I6G83_00050
CDS	with_protein	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	8211	9869	-	WP_062779027.1	WP_062779027.1		thiamine pyrophosphate-dependent enzyme		61762116	I6G83_RS00050	1659	552	
gene	protein_coding	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	10164	10631	+						61762117	I6G83_RS00055	468		old_locus_tag=I6G83_00055
CDS	with_protein	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	10164	10631	+	WP_072186179.1	WP_072186179.1		DUF2502 domain-containing protein		61762117	I6G83_RS00055	468	155	
gene	protein_coding	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	10689	11930	-						61762118	I6G83_RS00060	1242		old_locus_tag=I6G83_00060
CDS	with_protein	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	10689	11930	-	WP_054307601.1	WP_054307601.1		Nramp family divalent metal transporter		61762118	I6G83_RS00060	1242	413	
gene	protein_coding	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	12310	13497	+						61762119	I6G83_RS00065	1188		old_locus_tag=I6G83_00065
CDS	with_protein	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	12310	13497	+	WP_054307602.1	WP_054307602.1		NupC/NupG family nucleoside CNT transporter		61762119	I6G83_RS00065	1188	395	
gene	tRNA	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	13621	13696	-						61762120	I6G83_RS00070	76		old_locus_tag=I6G83_00070
tRNA		GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	13621	13696	-				tRNA-Ala		61762120	I6G83_RS00070	76		anticodon=GGC
gene	tRNA	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	13759	13834	-						61762121	I6G83_RS00075	76		old_locus_tag=I6G83_00075
tRNA		GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	13759	13834	-				tRNA-Ala		61762121	I6G83_RS00075	76		anticodon=GGC
gene	protein_coding	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	14170	15585	-					gltX	61762122	I6G83_RS00080	1416		old_locus_tag=I6G83_00080
CDS	with_protein	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	14170	15585	-	WP_061322634.1	WP_061322634.1		glutamate--tRNA ligase	gltX	61762122	I6G83_RS00080	1416	471	
gene	tRNA	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	15879	15954	+						61762123	I6G83_RS00085	76		old_locus_tag=I6G83_00085
tRNA		GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	15879	15954	+				tRNA-Val		61762123	I6G83_RS00085	76		anticodon=TAC
gene	tRNA	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	15982	16057	+						61762124	I6G83_RS00090	76		old_locus_tag=I6G83_00090
tRNA		GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	15982	16057	+				tRNA-Val		61762124	I6G83_RS00090	76		anticodon=TAC
gene	tRNA	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	16097	16172	+						61762125	I6G83_RS00095	76		old_locus_tag=I6G83_00095
tRNA		GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	16097	16172	+				tRNA-Val		61762125	I6G83_RS00095	76		anticodon=TAC
gene	tRNA	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	16180	16255	+						61762126	I6G83_RS00100	76		old_locus_tag=I6G83_00100
tRNA		GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	16180	16255	+				tRNA-Lys		61762126	I6G83_RS00100	76		anticodon=TTT
gene	ncRNA	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	16331	16456	+						61762127	I6G83_RS00105	126		old_locus_tag=I6G83_00105
ncRNA	other	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	16331	16456	+				RtT sRNA		61762127	I6G83_RS00105	126		
gene	protein_coding	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	16856	17611	-					dhbA	61762128	I6G83_RS00110	756		old_locus_tag=I6G83_00110
CDS	with_protein	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	16856	17611	-	WP_054306679.1	WP_054306679.1		2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	dhbA	61762128	I6G83_RS00110	756	251	
gene	protein_coding	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	17608	18474	-						61762129	I6G83_RS00115	867		old_locus_tag=I6G83_00115
CDS	with_protein	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	17608	18474	-	WP_054306680.1	WP_054306680.1		isochorismatase family protein		61762129	I6G83_RS00115	867	288	
gene	protein_coding	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	18478	20109	-						61762130	I6G83_RS00120	1632		old_locus_tag=I6G83_00120
CDS	with_protein	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	18478	20109	-	WP_054306681.1	WP_054306681.1		(2,3-dihydroxybenzoyl)adenylate synthase		61762130	I6G83_RS00120	1632	543	
gene	protein_coding	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	20117	21325	-						61762131	I6G83_RS00125	1209		old_locus_tag=I6G83_00125
CDS	with_protein	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	20117	21325	-	WP_054306682.1	WP_054306682.1		isochorismate synthase		61762131	I6G83_RS00125	1209	402	
gene	protein_coding	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	21560	22510	+					fepB	61762132	I6G83_RS00130	951		old_locus_tag=I6G83_00130
CDS	with_protein	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	21560	22510	+	WP_082394674.1	WP_082394674.1		Fe2+-enterobactin ABC transporter substrate-binding protein	fepB	61762132	I6G83_RS00130	951	316	
gene	protein_coding	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	22497	23768	-					entS	61762133	I6G83_RS00135	1272		old_locus_tag=I6G83_00135
CDS	with_protein	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	22497	23768	-	WP_054306693.1	WP_054306693.1		enterobactin transporter EntS	entS	61762133	I6G83_RS00135	1272	423	
gene	protein_coding	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	23905	24981	+					fepD	61762134	I6G83_RS00140	1077		old_locus_tag=I6G83_00140
CDS	with_protein	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	23905	24981	+	WP_054306684.1	WP_054306684.1		Fe(3+)-siderophore ABC transporter permease	fepD	61762134	I6G83_RS00140	1077	358	
gene	protein_coding	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	24978	26003	+					fepG	61762135	I6G83_RS00145	1026		old_locus_tag=I6G83_00145
CDS	with_protein	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	24978	26003	+	WP_054306685.1	WP_054306685.1		iron-enterobactin ABC transporter permease	fepG	61762135	I6G83_RS00145	1026	341	
gene	protein_coding	GCF_016026735.1	Primary Assembly	chromosome		NZ_CP065640.1	26000	26803	+						61762136	I6G83_RS00150	804		old_locus_tag=I6G83_00150
